yyyy,mm,dd,latitude,longitude,depth,mag,magType
1995,10,9,25.0575,97.7736,10.0,4.5,ke  
1995,10,19,22.8318,94.3121,105.0,4.3,ke  
1995,10,21,24.0044,94.5066,96.0,4.3,ke  
1995,11,1,22.3285,95.6808,10.0,3.8,ke  
1995,11,7,24.3683,96.9434,10.0,4.2,ke  
1995,11,17,16.8891,95.8554,35.0,4.1,ke  
1995,11,18,23.867,93.083,33.0,4.5,ke  
1995,11,27,24.84,97.36,15.0,3.6,ke  
1995,12,1,24.4841,92.0156,34.0,4.0,ke  
1995,12,1,26.2717,91.9752,40.0,4.4,fe  
1995,12,1,24.4514,94.1788,82.0,4.0,ke  
1995,12,4,27.2631,91.9173,15.0,4.7,ke  
1995,12,6,24.7239,91.629,34.2,4.0,ke  
1995,12,6,22.7111,92.9887,100.0,3.9,ke  
1995,12,9,26.27,99.77,12.0,3.7,ke  
1995,12,10,23.8,98.75,20.0,3.5,ke  
1995,12,12,26.9143,96.0882,35.0,5.1,ke  
1995,12,21,19.5735,99.0324,10.0,4.5,fe  
1995,12,25,23.9416,95.8498,36.0,4.0,ke  
1995,12,27,27.4433,92.1974,15.0,3.7,ke  
1996,1,5,21.02,99.99,21.0,4.2,ke  
1996,1,9,24.7964,95.0134,112.0,4.3,ke  
1996,1,12,21.4333,94.188,73.4,4.5,ke  
1996,1,18,23.7873,94.3675,99.0,4.0,ke  
1996,1,28,22.4987,94.0842,58.0,4.5,ke  
1996,2,3,26.8979,100.193,8.5,4.7,ke  
1996,2,3,26.989,99.5597,35.0,3.7,ke  
1996,2,4,26.6845,99.6873,35.0,3.2,ke  
1996,2,5,18.8485,95.7854,13.0,4.3,ke  
1996,2,5,21.1752,97.1874,10.0,4.1,ke  
1996,2,7,27.09,100.87,0.0,3.3,ke  
1996,2,8,23.391,94.6706,117.8,4.7,ke  
1996,2,10,23.59,99.44,23.0,3.8,ke  
1996,2,10,27.51,99.95,32.0,3.6,ke  
1996,2,11,24.1017,94.9249,145.2,4.2,ke  
1996,2,15,15.1462,96.266,13.7,4.8,ke  
1996,2,17,26.0197,90.5046,24.0,4.3,fe  
1996,3,4,24.3826,95.9708,35.0,3.8,ke  
1996,3,4,23.6518,92.7001,35.0,4.4,ke  
1996,3,5,26.4111,92.9766,61.7,4.1,ke  
1996,3,6,24.4962,94.5657,82.0,3.8,ke  
1996,3,6,23.717,93.3378,56.0,3.9,ke  
1996,3,9,23.118,94.5114,35.0,3.9,ke  
1996,3,12,21.94,99.14,25.5,4.1,ke  
1996,3,17,16.4839,95.9895,20.0,4.1,ke  
1996,3,20,23.9249,93.619,51.0,4.6,ke  
1996,3,21,26.7522,98.9819,5.2,4.2,ke  
1996,3,24,26.75,99.59,13.0,3.1,ke  
1996,3,24,26.52,99.88,25.0,3.1,ke  
1996,3,28,17.6293,96.3778,35.0,4.1,ke  
1996,4,9,20.2679,98.6771,17.7,4.0,ke  
1996,4,10,22.292,94.3881,106.0,4.0,ke  
1996,4,12,23.06,98.74,27.0,3.6,ke  
1996,4,14,26.2908,99.2352,35.0,4.7,ke  
1996,4,16,27.48,97.6,0.0,3.7,ke  
1996,4,25,24.8068,95.1423,110.1,4.5,ke  
1996,4,28,25.2138,94.7773,80.4,4.1,ke  
1996,5,7,24.4318,94.2559,75.0,3.6,ke  
1996,5,8,24.9119,99.1069,17.0,3.8,ke  
1996,5,11,22.7163,94.4772,121.8,4.2,ke  
1996,5,16,20.1385,97.8247,10.0,3.5,ke  
1996,5,19,26.66,96.31,0.0,3.7,ke  
1996,5,21,26.8197,93.1842,31.3,4.2,ke  
1996,5,24,20.6975,94.8735,128.0,4.4,ke  
1996,6,3,27.92,94.0296,35.0,4.1,ke  
1996,6,9,26.17,97.69,0.0,3.7,ke  
1996,6,12,23.8312,91.3571,35.0,3.5,ke  
1996,6,15,21.6401,93.3205,49.0,4.1,ke  
1996,6,20,25.9923,105.3126,35.0,4.2,ke  
1996,6,26,21.16,98.45,0.0,3.8,ke  
1996,6,27,22.9692,93.8614,58.0,4.3,ke  
1996,6,30,24.0345,94.4864,21.0,4.8,ke  
1996,7,2,27.0083,100.2254,26.7,5.0,ke  
1996,7,5,21.9223,92.4846,50.0,4.2,ke  
1996,7,12,27.2106,92.1241,35.0,4.4,ke  
1996,7,17,26.4629,92.3037,31.2,4.5,ke  
1996,7,24,25.9812,99.0881,35.0,4.2,ke  
1996,7,25,24.73,98.97,23.0,3.7,ke  
1996,7,26,24.0981,89.9463,10.0,3.9,ke  
1996,7,26,24.9664,96.2217,13.8,5.2,ke  
1996,7,27,21.2812,94.7151,102.2,5.1,ke  
1996,7,28,23.6171,93.9909,52.4,4.5,ke  
1996,7,28,25.8878,95.2524,71.9,4.6,ke  
1996,8,2,27.07,98.18,10.0,3.2,ke  
1996,8,2,21.3111,94.1402,56.0,3.8,ke  
1996,8,4,26.386,93.1114,31.1,4.4,ke  
1996,8,6,24.949,95.118,125.7,4.5,ke  
1996,8,7,24.0279,96.6415,17.9,4.2,ke  
1996,8,9,22.06,96.26,5.0,3.9,ke  
1996,8,16,24.2813,94.6428,100.0,4.0,ke  
1996,8,18,26.0171,90.1132,32.0,4.4,ke  
1996,8,19,26.3625,100.4047,35.0,3.1,ke  
1996,8,22,25.3,97.76,14.0,3.0,ke  
1996,8,23,25.7226,99.7423,35.0,3.5,ke  
1996,8,24,20.4922,97.8553,35.0,4.4,ke  
1996,9,1,23.9305,93.4536,100.0,4.0,ke  
1996,9,7,25.0345,94.791,104.0,4.0,ke  
1996,9,12,26.9756,92.5142,32.0,4.7,ke  
1996,9,14,27.5864,92.6713,18.0,4.7,ke  
1996,9,14,25.6763,96.6518,25.0,4.2,ke  
1996,9,18,21.3204,99.5356,10.0,3.5,ke  
1996,9,21,24.2521,93.7271,57.0,3.9,ke  
1996,9,23,20.8338,99.4978,35.0,3.9,ke  
1996,9,24,26.1491,96.2096,10.0,3.8,ke  
1996,9,25,28.0995,96.2642,10.0,4.3,ke  
1996,9,26,28.1612,96.7662,10.0,3.6,ke  
1996,9,30,23.5556,94.5905,99.0,4.0,ke  
1996,9,30,23.1008,93.9038,58.0,4.0,ke  
1996,10,1,26.8382,94.8035,35.0,4.3,ke  
1996,10,5,24.2,99.24,0.0,3.6,ke  
1996,10,7,25.55,98.22,0.0,3.6,ke  
1996,10,10,25.8,99.34,23.0,3.4,ke  
1996,10,13,24.4428,94.0948,100.0,3.8,ke  
1996,10,17,21.9434,99.0548,9.0,4.7,ke  
1996,10,19,21.01,100.0,10.0,4.3,ke  
1996,10,22,24.75,93.83,0.0,3.5,ke  
1996,10,24,25.4173,95.1602,95.0,3.4,ke  
1996,10,25,25.5945,90.9416,34.0,3.9,ke  
1996,10,27,21.5927,93.5211,49.0,4.3,ke  
1996,10,28,25.54,99.34,20.0,3.0,ke  
1996,10,31,23.0493,94.5336,95.7,4.8,ke  
1996,11,11,19.3718,94.9068,62.4,5.7,ke  
1996,11,11,19.1172,94.763,35.0,4.0,ke  
1996,11,12,22.63,93.57,89.7,3.6,ke  
1996,11,13,23.6513,94.4649,100.0,3.9,ke  
1996,11,15,21.1321,93.5093,45.0,4.3,ke  
1996,11,17,24.2397,95.0332,142.6,4.9,ke  
1996,11,18,24.7146,94.5097,50.0,3.9,ke  
1996,11,19,24.6614,92.7016,34.4,5.6,ke  
1996,11,19,26.4839,93.1399,35.0,4.1,ke  
1996,11,23,24.97,93.12,0.0,3.5,ke  
1996,11,24,26.8469,92.6538,35.0,4.3,ke  
1996,11,28,16.52,93.11,0.0,3.6,ke  
1996,11,29,25.87,99.77,19.0,3.1,ke  
1996,12,1,21.6007,98.4522,10.0,4.1,ke  
1996,12,10,25.2981,94.8063,85.0,3.8,ke  
1996,12,14,28.6377,99.8212,35.0,3.5,ke  
1996,12,15,23.5902,93.9832,69.9,4.5,ke  
1996,12,18,22.4868,93.8687,88.0,3.5,ke  
1996,12,18,23.4593,92.0243,35.0,4.0,ke  
1996,12,23,26.1283,90.1502,32.0,4.1,ke  
1996,12,29,25.06,98.74,17.0,3.2,ke  
1997,1,2,23.63,99.75,3.0,3.3,ke  
1997,1,4,26.17,99.78,5.0,3.0,ke  
1997,1,4,27.5652,96.6796,35.0,4.0,ke  
1997,1,6,21.21,92.93,0.0,4.2,ke  
1997,1,10,22.9789,93.5664,53.0,4.1,ke  
1997,1,11,25.2719,96.3564,21.0,4.2,ke  
1997,1,12,26.53,91.25,16.0,4.8,ke  
1997,1,12,24.3,99.3,26.0,3.7,ke  
1997,1,15,18.2553,94.9066,35.0,4.1,ke  
1997,1,15,25.6252,96.169,35.0,4.5,ke  
1997,1,16,19.64,96.7,15.0,4.2,ke  
1997,1,16,22.72,99.56,26.0,3.2,ke  
1997,1,21,20.52,98.76,0.0,3.7,ke  
1997,1,22,25.4776,90.0793,35.0,4.0,ke  
1997,1,26,25.34,99.36,16.0,2.9,ke  
1997,1,27,25.02,99.28,23.0,2.9,ke  
1997,1,28,26.2734,96.54,35.0,4.2,ke  
1997,1,30,25.1614,94.5799,72.0,4.1,ke  
1997,2,5,25.3872,98.9441,10.0,3.6,ke  
1997,2,11,21.2258,95.0801,120.0,4.0,ke  
1997,2,15,24.17,94.15,64.3,3.4,ke  
1997,2,15,16.65,93.51,0.0,4.2,ke  
1997,2,15,23.9701,94.3822,102.3,4.2,ke  
1997,2,17,24.8115,91.7926,34.0,3.8,ke  
1997,2,19,22.8482,94.9331,35.0,4.6,ke  
1997,3,10,27.4056,92.5787,16.8,4.5,ke  
1997,3,11,22.37,99.19,23.0,3.1,ke  
1997,3,17,23.356,94.3842,99.0,4.0,ke  
1997,3,23,27.02,98.27,8.0,4.3,ke  
1997,3,25,25.1773,98.3033,15.0,4.1,ke  
1997,3,25,17.4201,94.6897,46.8,4.2,ke  
1997,3,30,25.692,95.358,0.0,3.6,ke  
1997,4,4,23.088,90.38,0.0,3.7,ke  
1997,4,4,27.0946,92.6089,35.0,3.8,ke  
1997,4,6,21.3034,94.3288,93.2,4.5,ke  
1997,4,6,21.825,98.892,0.0,4.0,ke  
1997,4,6,23.229,92.037,0.0,3.4,ke  
1997,4,15,22.7104,94.5274,123.0,4.9,ke  
1997,4,21,24.414,96.855,0.0,4.3,ke  
1997,4,21,23.3143,94.8894,124.0,4.5,ke  
1997,4,25,26.4687,96.1101,83.0,4.3,ke  
1997,4,29,24.2366,95.0936,112.0,3.7,ke  
1997,5,8,24.9309,92.2791,29.4,5.7,de  
1997,5,12,25.833,93.453,0.0,3.7,ke  
1997,5,16,22.773,93.997,66.2,3.4,ke  
1997,5,19,25.1061,93.9135,60.6,4.1,ke  
1997,5,20,25.045,95.7927,23.0,4.1,ke  
1997,5,20,25.315,95.49,0.0,3.6,ke  
1997,5,28,23.23,99.36,24.0,3.2,ke  
1997,5,29,26.4757,96.6946,88.0,4.0,ke  
1997,6,2,27.9851,92.6153,35.0,4.1,ke  
1997,6,6,24.642,97.848,0.0,3.8,ke  
1997,6,6,24.238,94.0819,68.0,4.2,ke  
1997,6,8,24.37,98.53,5.0,3.0,ke  
1997,6,15,27.5,91.81,11.0,4.1,ke  
1997,6,19,26.35,99.46,5.0,3.1,ke  
1997,6,23,25.717,97.774,0.0,3.6,ke  
1997,6,24,25.3373,92.3522,33.4,4.0,ke  
1997,6,24,26.5165,96.094,35.0,4.1,ke  
1997,6,27,26.6067,92.6401,43.0,3.9,ke  
1997,6,29,25.35,99.59,15.0,4.1,ke  
1997,6,29,25.36,99.13,8.0,3.0,ke  
1997,6,29,25.11,99.54,13.0,2.9,ke  
1997,6,30,15.6002,95.7174,35.0,4.4,ke  
1997,7,1,25.0127,95.2317,100.0,4.0,ke  
1997,7,2,24.99,99.32,24.0,3.4,ke  
1997,7,5,22.7948,94.5698,105.0,3.9,ke  
1997,7,9,26.11,99.37,6.0,3.4,ke  
1997,7,11,21.7624,94.8725,142.0,5.3,ke  
1997,7,15,24.668,93.3,0.0,3.7,ke  
1997,7,15,23.0103,94.3606,105.0,4.0,ke  
1997,7,17,24.6686,95.6162,10.0,4.2,ke  
1997,7,18,26.8722,91.829,41.3,5.0,ke  
1997,7,18,27.292,92.628,0.0,3.7,ke  
1997,7,21,25.9039,99.8911,10.0,4.0,ke  
1997,7,24,26.1279,95.6516,94.1,4.1,ke  
1997,7,28,24.087,93.816,0.0,3.6,ke  
1997,7,28,27.7914,99.8427,35.0,4.0,ke  
1997,7,31,23.9416,93.176,25.7,5.5,ke  
1997,8,1,25.91,95.81,15.0,3.6,ke  
1997,8,2,18.5893,94.679,47.9,3.8,ke  
1997,8,5,26.928,93.048,0.0,3.7,ke  
1997,8,5,23.2713,90.8848,23.4,4.1,ke  
1997,8,5,24.4011,94.6379,82.0,4.0,ke  
1997,8,6,26.1689,92.8702,35.0,4.1,ke  
1997,8,8,22.1113,93.6562,68.6,4.4,ke  
1997,8,9,22.3088,94.5503,110.0,4.1,ke  
1997,8,11,26.56,97.68,15.0,3.7,ke  
1997,8,13,23.149,92.72,0.0,4.0,ke  
1997,8,13,20.5027,97.8925,35.0,3.9,ke  
1997,8,14,24.3604,91.948,34.0,4.1,ke  
1997,8,18,24.7096,94.6853,100.6,4.3,ke  
1997,8,23,23.9039,94.9416,200.0,3.6,ke  
1997,8,25,27.548,94.161,0.0,4.3,ke  
1997,8,27,23.465,93.016,0.0,3.8,ke  
1997,8,30,17.9644,96.5352,11.0,4.2,ke  
1997,9,2,25.19,96.13,15.0,3.2,ke  
1997,9,5,22.1931,92.0626,0.0,3.7,ke  
1997,9,7,22.93,99.49,11.0,3.1,ke  
1997,9,9,23.5,99.67,15.0,3.2,ke  
1997,9,11,20.5843,93.5489,0.0,3.5,ke  
1997,9,13,26.1373,90.5364,35.0,4.0,ke  
1997,9,17,24.7369,95.7575,0.0,4.2,ke  
1997,9,21,20.8642,98.7181,22.4,3.9,ke  
1997,9,27,22.8373,93.6873,58.0,4.1,ke  
1997,9,28,21.5135,95.4535,0.0,3.1,ke  
1997,9,28,25.41,94.9292,98.7,4.2,ke  
1997,10,1,21.2773,94.1552,56.0,4.1,ke  
1997,10,2,23.9511,94.3852,96.0,3.7,ke  
1997,10,2,25.3096,93.1059,0.0,3.6,ke  
1997,10,8,24.9883,93.3745,52.7,4.5,ke  
1997,10,9,22.65,96.6,20.0,4.2,ke  
1997,10,11,25.55,99.03,10.0,2.7,ke  
1997,10,13,24.4,97.49,15.0,3.3,ke  
1997,10,13,21.52,98.12,25.0,3.9,ke  
1997,10,25,24.8032,94.6691,103.5,3.4,ke  
1997,10,26,24.1055,93.649,57.2,4.1,ke  
1997,10,28,24.36,98.87,14.0,3.5,ke  
1997,10,28,24.77,98.8,14.0,3.3,ke  
1997,10,31,25.52,99.68,23.0,2.9,ke  
1997,11,2,28.0368,95.4261,35.0,3.8,ke  
1997,11,3,27.0031,93.4542,0.0,4.0,ke  
1997,11,3,25.17,99.09,10.0,3.1,ke  
1997,11,4,27.0934,94.1833,0.0,3.9,ke  
1997,11,8,28.8164,95.9385,34.0,4.8,ke  
1997,11,10,23.0413,92.3611,0.0,3.7,ke  
1997,11,11,26.7745,95.5513,35.0,4.2,ke  
1997,11,12,27.86,96.65,7.0,4.4,ke  
1997,11,21,22.3326,92.6539,41.3,6.0,de  
1997,11,21,21.23,93.08,50.0,4.5,ke  
1997,11,21,22.23,99.14,10.0,3.7,ke  
1997,11,22,24.416,93.1291,0.0,3.7,ke  
1997,11,23,26.1466,95.9963,52.0,4.6,ke  
1997,11,25,26.9682,96.8937,28.0,4.4,ke  
1997,11,27,26.6701,91.6144,0.0,3.8,ke  
1997,11,27,25.9278,95.5322,0.0,4.0,ke  
1997,11,28,21.9225,94.5069,112.1,4.3,ke  
1997,12,3,26.626,96.9842,15.0,4.1,ke  
1997,12,15,25.81,99.79,17.0,2.6,ke  
1997,12,17,24.3431,98.5695,6.0,3.9,ke  
1997,12,17,22.5035,93.6876,100.0,3.4,ke  
1997,12,19,21.9316,93.4954,52.0,3.7,ke  
1997,12,22,24.9174,98.1114,10.0,3.6,ke  
1997,12,27,26.5076,96.3338,83.0,3.8,ke  
1997,12,27,25.6085,91.367,28.0,3.9,ke  
1997,12,30,25.3113,96.5554,24.5,5.3,ke  
1998,1,2,24.7,98.76,23.0,2.7,ke  
1998,1,5,25.0509,95.9704,23.0,3.9,ke  
1998,1,6,26.0443,91.8504,35.0,4.3,ke  
1998,1,11,25.87,96.98,3.0,3.1,ke  
1998,1,13,28.4088,93.5935,63.0,4.1,ke  
1998,1,15,24.25,98.92,8.0,3.3,ke  
1998,1,16,22.9567,99.5708,14.0,4.3,ke  
1998,1,19,22.36,99.51,7.0,3.6,ke  
1998,1,21,24.4509,97.579,35.0,3.9,ke  
1998,2,5,16.0349,95.8778,35.0,4.0,ke  
1998,2,6,22.1628,94.1759,64.0,4.2,ke  
1998,2,15,26.1387,90.0374,0.0,3.7,ke  
1998,2,15,25.7697,96.1026,35.0,3.4,ke  
1998,2,16,25.4221,98.5637,35.0,3.5,ke  
1998,2,18,23.143,94.0696,28.5,4.7,ke  
1998,2,20,24.2272,91.3717,30.0,4.0,ke  
1998,2,20,24.1064,90.2872,35.0,3.5,ke  
1998,2,21,27.3063,96.0745,35.0,4.0,ke  
1998,2,22,24.78,98.25,29.0,3.5,ke  
1998,2,23,22.6845,93.204,0.0,3.3,ke  
1998,3,1,23.6008,94.3403,99.0,4.5,ke  
1998,3,6,24.5789,94.2641,50.5,5.2,ke  
1998,3,11,25.1892,94.8347,97.9,4.6,ke  
1998,3,13,15.2501,94.1937,35.0,3.7,ke  
1998,3,14,15.9301,93.5039,0.0,3.3,ke  
1998,3,16,27.1166,90.1136,35.0,3.7,ke  
1998,3,20,19.1857,93.3482,35.0,3.9,ke  
1998,4,14,24.7607,94.6335,72.0,4.2,ke  
1998,4,15,25.1835,96.5904,21.0,4.1,ke  
1998,4,18,25.03,95.75,20.0,3.5,ke  
1998,5,1,25.3409,95.3881,103.5,3.3,ke  
1998,5,2,24.9161,95.2467,121.7,5.2,fe  
1998,5,2,29.0179,93.6692,35.0,3.7,ke  
1998,5,6,24.87,98.06,10.0,2.9,ke  
1998,5,6,24.5352,97.6076,35.0,3.9,ke  
1998,5,6,26.0,99.8,8.0,3.4,ke  
1998,5,6,17.8782,94.2749,35.0,5.0,ke  
1998,5,15,22.82,98.91,30.0,3.6,ke  
1998,5,16,24.17,97.81,29.0,3.7,ke  
1998,5,23,19.5246,98.3516,16.5,4.1,ke  
1998,5,26,24.7075,99.3578,0.0,3.4,ke  
1998,6,2,25.7088,92.6566,0.0,3.4,ke  
1998,6,2,27.8874,93.9647,35.0,3.8,ke  
1998,6,6,19.5054,98.686,82.5,3.0,ke  
1998,6,7,26.3332,96.1381,83.0,3.6,ke  
1998,6,9,23.3802,92.3685,35.0,3.8,ke  
1998,6,11,24.6829,93.2774,55.0,3.9,ke  
1998,6,18,25.06,94.873,104.0,4.1,ke  
1998,6,21,25.8412,96.9129,16.0,3.5,ke  
1998,6,23,24.9849,99.9708,0.0,3.9,ke  
1998,6,26,17.7187,95.9934,35.0,3.7,ke  
1998,6,30,22.9295,94.6289,121.8,4.6,ke  
1998,7,2,21.0953,93.6603,45.0,4.2,ke  
1998,7,2,19.7906,96.8611,35.0,4.0,ke  
1998,7,2,26.23,99.61,10.0,2.9,ke  
1998,7,3,25.8433,94.2982,0.0,3.8,ke  
1998,7,3,22.2815,98.7947,0.0,3.6,ke  
1998,7,5,23.05,99.04,5.0,3.7,ke  
1998,7,7,25.7503,99.5489,10.0,4.0,ke  
1998,7,7,25.73,99.32,5.0,3.0,ke  
1998,7,7,25.45,99.62,7.0,2.9,ke  
1998,7,7,26.26,99.28,5.0,3.2,ke  
1998,7,9,18.5954,95.5217,35.0,4.5,ke  
1998,7,12,15.3841,90.9341,35.0,4.3,ke  
1998,7,13,18.64,98.88,4.0,4.2,ke  
1998,7,13,21.32,98.37,28.0,4.1,ke  
1998,7,13,24.98,99.0,27.0,3.4,ke  
1998,7,17,22.8211,94.3549,105.0,3.7,ke  
1998,7,24,24.7,98.82,5.0,2.9,ke  
1998,7,27,24.2657,93.5254,41.4,4.9,ke  
1998,7,30,22.2617,93.515,59.0,3.6,ke  
1998,8,6,24.6392,94.6223,82.0,4.3,ke  
1998,8,10,25.342,96.5622,25.0,4.3,ke  
1998,8,11,25.6517,95.5481,35.0,4.0,ke  
1998,8,17,25.97,99.91,19.0,3.2,ke  
1998,8,18,27.5514,91.069,24.5,5.2,ke  
1998,8,19,26.0326,93.9604,150.0,4.1,ke  
1998,8,19,21.1231,94.482,52.0,3.8,ke  
1998,8,27,27.5541,99.9134,35.0,3.9,ke  
1998,8,30,19.83,94.5741,54.1,4.7,ke  
1998,8,30,24.6405,99.2966,35.0,4.0,ke  
1998,9,6,17.0297,94.9415,35.0,4.0,ke  
1998,9,10,25.33,99.36,13.0,3.1,ke  
1998,9,12,20.3651,93.9274,52.0,3.4,ke  
1998,9,13,23.9146,96.008,31.0,4.6,ke  
1998,9,14,21.73,98.63,27.0,3.9,ke  
1998,9,16,27.5785,97.8207,35.0,3.8,ke  
1998,9,18,21.56,99.63,14.0,3.3,ke  
1998,9,24,23.3687,94.3059,99.0,4.1,ke  
1998,9,26,16.5232,95.8363,20.0,3.9,ke  
1998,9,26,27.5859,92.8268,18.6,5.5,fe  
1998,10,2,27.8,99.23,10.0,3.4,ke  
1998,10,2,27.02,99.66,24.0,2.7,ke  
1998,10,4,26.6,99.96,10.0,2.9,ke  
1998,10,6,25.3062,93.4239,0.0,4.0,ke  
1998,10,15,27.37,99.56,12.0,3.3,ke  
1998,10,16,23.7446,94.527,76.2,5.3,ke  
1998,10,16,25.3084,90.7394,34.0,4.0,ke  
1998,10,17,24.8641,95.2441,104.0,3.8,ke  
1998,10,21,24.5714,94.4077,86.8,4.3,ke  
1998,10,21,22.58,98.47,15.0,3.5,ke  
1998,10,25,23.8497,95.0666,115.0,3.8,ke  
1998,10,26,25.3638,94.1813,35.0,4.2,ke  
1998,10,26,19.0659,94.7639,35.0,4.3,ke  
1998,10,30,23.774,94.0043,73.0,3.9,ke  
1998,11,10,21.0995,93.7997,52.0,4.4,ke  
1998,11,10,19.9893,93.3349,0.0,3.2,ke  
1998,11,17,25.7302,95.1021,85.0,3.7,ke  
1998,11,21,15.6699,94.2021,35.0,3.8,ke  
1998,11,24,26.267,94.6058,35.0,4.1,ke  
1998,11,29,26.81,99.6,28.0,3.9,ke  
1998,11,30,17.2241,96.0295,35.0,3.7,ke  
1998,12,2,25.1074,94.8561,104.0,4.4,ke  
1998,12,2,26.2826,93.4457,27.0,5.0,ke  
1998,12,4,26.6177,92.1377,29.2,4.2,ke  
1998,12,11,24.7205,95.0207,166.2,4.1,ke  
1998,12,15,21.4761,93.9594,56.0,4.0,ke  
1998,12,18,26.01,96.16,10.0,3.6,ke  
1998,12,19,24.25,98.94,15.0,3.8,ke  
1998,12,31,23.9379,94.5585,96.0,3.9,ke  
1999,1,4,25.6645,99.3789,35.0,4.0,se  
1999,1,5,22.7775,94.4994,106.0,4.2,se  
1999,1,7,23.4905,94.3512,97.6,4.2,ke  
1999,1,12,22.6425,93.5171,59.0,3.6,ke  
1999,1,12,25.7151,94.3791,55.0,3.4,ke  
1999,1,16,22.2468,94.2826,106.0,3.8,ke  
1999,1,20,23.57,99.44,18.0,3.8,ke  
1999,1,20,23.45,99.87,28.0,3.2,ke  
1999,1,20,26.6239,96.1939,83.0,4.7,ke  
1999,1,20,26.3707,92.5749,45.3,4.3,ke  
1999,1,25,25.049,97.6955,25.5,4.3,ke  
1999,1,28,23.7328,93.9544,68.0,3.7,se  
1999,2,8,22.2242,92.7221,10.0,4.4,ke  
1999,2,10,23.8626,91.0152,0.0,3.5,ke  
1999,2,16,25.9858,95.5967,35.0,3.6,ke  
1999,2,19,24.3084,99.1016,7.0,4.1,ke  
1999,2,19,25.3126,94.7656,35.0,4.2,se  
1999,2,21,21.5396,94.4905,97.0,3.7,ke  
1999,2,21,26.5526,93.5819,27.0,3.8,se  
1999,2,22,23.2898,93.6274,34.4,5.2,ke  
1999,3,4,22.1742,93.4353,52.0,4.3,ke  
1999,3,4,15.2272,95.3629,35.0,4.0,se  
1999,3,6,23.6635,93.4647,51.0,4.1,ke  
1999,3,8,22.1268,94.0854,100.0,3.8,ke  
1999,3,9,24.67,97.75,11.0,3.4,ke  
1999,3,11,26.1467,94.2196,100.0,4.0,se  
1999,4,2,15.0482,95.739,16.0,4.0,se  
1999,4,5,25.0278,93.7867,51.6,5.3,fe  
1999,4,7,26.475,96.137,83.0,4.3,ke  
1999,4,10,22.6,99.36,25.0,3.1,ke  
1999,4,10,23.6351,92.3762,0.0,3.3,ke  
1999,4,11,19.559,94.7719,35.0,4.0,ke  
1999,4,12,25.41,99.43,15.0,4.1,ke  
1999,4,12,22.3645,94.4501,106.0,4.2,se  
1999,4,14,24.6141,93.7947,38.5,4.5,ke  
1999,4,15,25.54,93.5749,33.0,4.3,se  
1999,4,30,25.6385,100.2187,35.0,4.4,ke  
1999,4,30,25.2819,94.039,50.0,4.0,se  
1999,5,6,22.1186,95.3941,10.0,4.0,ke  
1999,5,9,25.121,95.4258,150.0,3.8,ke  
1999,5,11,21.87,98.93,29.0,3.8,ke  
1999,5,15,23.5347,94.0888,100.0,3.7,ke  
1999,5,17,27.0504,92.441,100.0,3.8,se  
1999,5,22,25.69,99.56,17.0,3.3,ke  
1999,5,25,23.4151,94.477,99.0,4.2,se  
1999,6,9,25.2255,94.8882,100.0,4.1,ke  
1999,6,16,17.8145,94.0495,28.0,4.3,ke  
1999,6,19,24.19,94.4069,72.6,4.3,ke  
1999,6,20,26.4464,92.9168,26.6,4.3,ke  
1999,6,22,26.38,99.93,10.0,3.5,ke  
1999,6,23,23.09,99.44,10.0,3.4,ke  
1999,6,26,24.1159,93.5677,57.0,3.7,ke  
1999,6,26,26.7646,91.8268,50.0,4.2,ke  
1999,6,28,26.8561,96.5039,0.0,4.2,ke  
1999,7,5,22.9011,93.5329,53.0,4.4,ke  
1999,7,15,21.4315,99.2593,24.6,4.8,ke  
1999,7,17,24.8268,99.8585,10.0,3.8,se  
1999,7,17,24.34,99.48,25.0,3.5,ke  
1999,7,17,24.77,99.58,17.0,3.1,ke  
1999,7,22,21.6197,91.8613,22.8,5.2,de  
1999,7,28,25.8545,93.4268,33.0,4.2,ke  
1999,8,1,21.5266,94.5474,35.0,3.7,ke  
1999,8,3,21.0922,94.2588,91.0,4.0,se  
1999,8,15,18.4085,96.2432,19.1,5.0,fe  
1999,8,24,22.3266,94.3599,106.0,4.0,se  
1999,8,30,21.98,97.08,22.0,4.5,ke  
1999,9,1,22.9975,95.1394,10.0,4.2,ke  
1999,9,5,27.9932,87.4137,100.0,4.3,ke  
1999,9,6,18.575,93.6958,35.0,4.2,se  
1999,9,7,31.3741,99.5144,0.0,3.8,ke  
1999,9,17,23.02,99.62,10.0,2.9,ke  
1999,9,26,21.21,99.33,29.0,3.9,ke  
1999,9,26,25.99,99.67,18.0,3.1,ke  
1999,10,1,23.6703,93.3897,10.0,4.2,ke  
1999,10,4,24.82,99.29,25.0,3.6,ke  
1999,10,5,26.3296,92.015,31.7,5.3,ke  
1999,10,6,23.8204,94.4969,126.6,4.2,ke  
1999,10,8,22.7933,94.4217,106.0,4.2,ke  
1999,10,10,27.4791,97.1615,35.0,4.4,ke  
1999,10,19,26.38,95.66,3.0,3.4,ke  
1999,10,19,24.843,95.058,104.0,4.1,se  
1999,10,28,17.1586,95.4237,35.0,4.3,se  
1999,10,31,24.91,99.13,24.0,3.0,ke  
1999,11,4,17.9246,94.2621,35.0,3.5,se  
1999,11,5,21.9303,94.5137,118.9,4.4,ke  
1999,11,6,18.6596,93.6836,35.0,3.9,se  
